57,data_integration_app_3,edge,edge_device_17,edge
83,smart_energy_asset_62,edge,edge_device_31,edge
95,smart_energy_asset_80,edge,edge_device_9,edge
2,edge_device_25,edge,vm_1,edge
38,data_pipeline_15,fog,private_cloud_25,fog
80,smart_energy_asset_49,edge,edge_device_26,edge
95,smart_energy_asset_66,edge,edge_device_13,edge
2,smart_energy_asset_13,edge,edge_device_5,edge
15,data_pipeline_9,fog,private_cloud_24,fog
83,data_pipeline_2,fog,private_cloud_8,fog
16,smart_energy_asset_73,edge,edge_device_18,edge
59,smart_energy_asset_59,edge,smart_energy_asset_24,edge
35,smart_energy_asset_55,edge,edge_device_21,edge
44,data_pipeline_3,fog,private_cloud_14,fog
51,smart_energy_asset_5,edge,smart_energy_asset_6,edge
80,data_pipeline_15,fog,private_cloud_22,fog
95,data_pipeline_16,fog,private_cloud_14,fog
42,edge_device_13,edge,vm_6,edge
18,data_pipeline_23,fog,private_cloud_11,fog
34,smart_energy_asset_4,edge,edge_device_12,edge
38,smart_energy_asset_23,edge,edge_device_30,edge
24,smart_energy_asset_59,edge,edge_device_13,edge
50,data_pipeline_18,fog,private_cloud_12,fog
16,smart_energy_asset_72,edge,edge_device_4,edge
24,smart_energy_asset_78,edge,edge_device_31,edge
65,data_pipeline_3,fog,private_cloud_12,fog
93,smart_energy_asset_15,edge,smart_energy_asset_72,edge
5,data_pipeline_3,fog,private_cloud_24,fog
57,smart_energy_asset_63,edge,edge_device_25,edge
94,aws_deep_learning_2,cloud,aks_pod_2,cloud
11,edge_device_25,edge,vm_10,edge
34,data_pipeline_9,fog,private_cloud_9,fog
53,smart_energy_asset_15,edge,edge_device_31,edge
74,data_pipeline_8,fog,private_cloud_6,fog
89,smart_energy_asset_43,edge,edge_device_1,edge
36,smart_energy_asset_79,edge,edge_device_6,edge
38,data_pipeline_9,fog,private_cloud_18,fog
40,data_pipeline_6,fog,private_cloud_14,fog
70,smart_energy_asset_77,edge,edge_device_18,edge
16,data_pipeline_24,fog,private_cloud_6,fog
17,data_pipeline_14,fog,private_cloud_2,fog
66,smart_energy_asset_53,edge,edge_device_32,edge
94,data_integration_app_13,edge,data_integration_app_10,edge
10,data_pipeline_18,fog,private_cloud_18,fog
11,data_pipeline_19,fog,private_cloud_13,fog
27,smart_energy_asset_49,edge,edge_device_13,edge
69,data_pipeline_16,fog,private_cloud_5,fog
10,aws_deep_learning_2,cloud,aks_pod_2,cloud
42,smart_energy_asset_4,edge,edge_device_10,edge
80,smart_energy_asset_41,edge,edge_device_6,edge
21,smart_energy_asset_34,edge,edge_device_9,edge
63,smart_energy_asset_31,edge,edge_device_24,edge
81,smart_energy_asset_4,edge,edge_device_10,edge
53,smart_energy_asset_77,edge,edge_device_10,edge
98,smart_energy_asset_20,edge,edge_device_28,edge
100,data_pipeline_5,fog,private_cloud_4,fog
13,data_pipeline_4,fog,private_cloud_21,fog
18,smart_energy_asset_21,edge,edge_device_1,edge
35,edge_device_37,edge,vm_19,edge
52,smart_energy_asset_12,edge,edge_device_4,edge
61,smart_energy_asset_45,edge,edge_device_4,edge
98,private_cloud_25,fog,private_cloud_19,fog
51,data_pipeline_5,fog,private_cloud_3,fog
4,smart_energy_asset_23,edge,edge_device_3,edge
31,smart_energy_asset_54,edge,edge_device_12,edge
59,smart_energy_asset_39,edge,smart_energy_asset_54,edge
93,smart_energy_asset_80,edge,smart_energy_asset_39,edge
6,smart_energy_asset_67,edge,edge_device_35,edge
23,smart_energy_asset_53,edge,edge_device_34,edge
70,smart_energy_asset_39,edge,smart_energy_asset_3,edge
2,smart_energy_asset_53,edge,edge_device_34,edge
60,data_integration_app_24,edge,vm_6,edge
5,smart_energy_asset_72,edge,edge_device_12,edge
38,data_pipeline_16,fog,private_cloud_1,fog
47,data_pipeline_17,fog,private_cloud_20,fog
70,data_pipeline_25,fog,private_cloud_6,fog
71,smart_energy_asset_66,edge,edge_device_12,edge
85,smart_energy_asset_25,edge,edge_device_17,edge
23,smart_energy_asset_10,edge,edge_device_17,edge
48,aws_s3_2,cloud,azure_1,cloud
60,smart_energy_asset_58,edge,edge_device_12,edge
70,smart_energy_asset_4,edge,edge_device_18,edge
74,smart_energy_asset_49,edge,edge_device_25,edge
93,smart_energy_asset_9,edge,edge_device_4,edge
